"ID","StationName","District","Lat","Long"
"1","U Kaiserdamm (Berlin)","Charlottenburg-Wilmersdorf","52.509971","13.281967"
"2","U Theodor-Heuss-Platz (Berlin)","Charlottenburg-Wilmersdorf","52.509798","13.272977"
"3","S Blankenburg (Berlin)","Pankow","52.591069","13.442972"
"4","S Eichwalde","Treptow-Köpenick","52.372085","13.614966"
"5","S Zeuthen","Treptow-Köpenick","52.349162","13.627045"
"6","S Flughafen Berlin-Schönefeld Bhf","Neukölln","52.391735","13.514318"
"7","U Theodor-Heuss-Platz Süd (Berlin)","Charlottenburg-Wilmersdorf","52.508908","13.272215"
"8","S Westend (Berlin)","Charlottenburg-Wilmersdorf","52.518610","13.284237"
"9","S Karow Bhf (Berlin)","Pankow","52.614502","13.468946"
"10","S+U Westhafen (Berlin)","Mitte","52.536528","13.342727"
"11","S Nikolassee (Berlin)","Steglitz-Zehlendorf","52.431638","13.193618"
"12","S Buckower Chaussee (Berlin)","Tempelhof-Schöneberg","52.410919","13.382689"
"13","S+U Jungfernheide Bhf (Berlin)","Charlottenburg-Wilmersdorf","52.530275","13.299064"
"14","S Beusselstr. (Berlin)","Mitte","52.534314","13.328703"
"15","U Residenzstr. (Berlin)","Reinickendorf","52.570843","13.360635"
"16","U Franz-Neumann-Platz (Berlin)","Mitte","52.563854","13.364283"
"17","S Schönholz (Berlin)","Pankow","52.571855","13.380344"
"18","S Greifswalder Str. (Berlin)","Pankow","52.540426","13.439246"
"19","U Schlesisches Tor (Berlin)","Friedrichshain-Kreuzberg","52.500759","13.441926"
"20","S Landsberger Allee (Berlin)","Pankow","52.528772","13.455944"
"21","S Frohnau (Berlin)","Reinickendorf","52.632958","13.289564"
"22","U Görlitzer Bahnhof (Berlin)","Friedrichshain-Kreuzberg","52.499035","13.428468"
"23","S Karlshorst Bhf (Berlin)","Lichtenberg","52.481038","13.525981"
"24","U Senefelderplatz (Berlin)","Pankow","52.532622","13.412625"
"25","U Lindauer Allee (Berlin)","Reinickendorf","52.575394","13.339047"
"26","U Eberswalder Str. (Berlin)","Pankow","52.541085","13.412160"
"27","S Schöneweide/Sterndamm (Berlin)","Treptow-Köpenick","52.453921","13.509993"
"28","S+U Schönhauser Allee (Berlin)","Pankow","52.549336","13.415138"
"29","S Prenzlauer Allee (Berlin)","Pankow","52.544879","13.427746"
"30","S Storkower Str. (Berlin)","Pankow","52.524195","13.464884"
"31","S Bornholmer Str. (Berlin)","Pankow","52.555032","13.397848"
"32","S+U Berlin Hauptbahnhof (tief)","Mitte","52.525042","13.369386"
"33","S+U Karl-Bonhoeffer-Nervenklinik (Berlin)","Reinickendorf","52.578169","13.332921"
"34","S+U Berlin Hauptbahnhof","Mitte","52.525847","13.368924"
"35","S Wilhelmsruh (Berlin)","Pankow","52.581588","13.363284"
"36","U Eberswalder Str./Pappelallee (Berlin)","Pankow","52.541961","13.413338"
"37","U Grenzallee/Jahnstr. (Berlin)","Neukölln","52.461654","13.445664"
"38","S Attilastr. (Berlin)","Steglitz-Zehlendorf","52.447170","13.360599"
"39","U Kaiserin-Augusta-Str. (Berlin)","Tempelhof-Schöneberg","52.460512","13.384905"
"40","S Lankwitz (Berlin)","Steglitz-Zehlendorf","52.439034","13.342760"
"41","U Blaschkoallee (Berlin)","Neukölln","52.452743","13.448976"
"42","S Südende (Berlin)","Steglitz-Zehlendorf","52.448899","13.354077"
"43","U Grenzallee (Berlin)","Neukölln","52.463516","13.444828"
"44","U Kaulsdorf-Nord (Berlin)","Marzahn-Heissen","52.521436","13.588763"
"45","U Neue Grottkauer Str. (Berlin)","Marzahn-Heissen","52.528240","13.590777"
"46","U Cottbusser Platz (Berlin)","Marzahn-Heissen","52.533963","13.596894"
"47","S Südkreuz Bhf/Ostseite (Berlin)","Tempelhof-Schöneberg","52.474505","13.367183"
"48","S+U Wuhletal (Berlin)","Marzahn-Heissen","52.512537","13.575478"
"49","S Südkreuz Bhf (Berlin)","Tempelhof-Schöneberg","52.475468","13.365579"
"50","S Kaulsdorf (Berlin)","Marzahn-Heissen","52.512122","13.589030"
"51","S Priesterweg (Berlin)","Tempelhof-Schöneberg","52.459239","13.356028"
"52","U Tierpark (Berlin)","Lichtenberg","52.497236","13.523626"
"53","U Hellersdorf (Berlin)","Marzahn-Heissen","52.535946","13.605794"
"54","U Hönow (Berlin)","Marzahn-Heissen","52.538105","13.634541"
"55","U Tempelhof/Ringbahnstr. (Berlin)","Tempelhof-Schöneberg","52.468806","13.385842"
"56","S Nöldnerplatz/Schlichtallee (Berlin)","Lichtenberg","52.502274","13.485141"
"57","S Tiergarten (Berlin)","Mitte","52.514400","13.336469"
"58","U Turmstr. (Berlin)","Mitte","52.525837","13.342401"
"59","S Wollankstr./Sternstr. (Berlin)","Pankow","52.565352","13.391540"
"60","U Hansaplatz (Berlin)","Mitte","52.518111","13.342165"
"61","S+U Hermannstr. (Berlin)","Neukölln","52.467181","13.431704"
"62","S Bellevue (Berlin)","Mitte","52.519764","13.346916"
"63","S+U Yorckstr. S2 S25 U7 (Berlin)","Friedrichshain-Kreuzberg","52.492631","13.371176"
"64","S+U Hermannstr./Silbersteinstr. (Berlin)","Neukölln","52.466432","13.431959"
"65","S Yorckstr. S2 S25 (Berlin)","Friedrichshain-Kreuzberg","52.492341","13.372182"
"66","U Wittenau (Berlin)","Reinickendorf","52.595509","13.333300"
"67","U Rathaus Reinickendorf (Berlin)","Reinickendorf","52.588218","13.325568"
"68","U Boddinstr. (Berlin)","Neukölln","52.479745","13.425782"
"69","U Friedrichsfelde (Berlin)","Lichtenberg","52.505895","13.512791"
"70","U Leinestr. (Berlin)","Neukölln","52.472874","13.428400"
"71","S+U Lichtenberg Bhf/Siegfriedstr. (Berlin)","Lichtenberg","52.512315","13.497750"
"72","S Teltow Stadt","Steglitz-Zehlendorf","52.396706","13.276051"
"73","S Babelsberg","Steglitz-Zehlendorf","52.391372","13.094623"
"74","S+U Lichtenberg Bhf/Gudrunstr. (Berlin)","Lichtenberg","52.512367","13.500065"
"75","S Griebnitzsee Bhf","Steglitz-Zehlendorf","52.393904","13.127372"
"76","U Louis-Lewin-Str. (Berlin)","Marzahn-Heissen","52.539135","13.619707"
"77","S Eichborndamm (Berlin)","Reinickendorf","52.577545","13.315583"
"78","S Schulzendorf (Berlin)","Reinickendorf","52.613347","13.246009"
"79","U Birkenstr. (Berlin)","Mitte","52.532229","13.341417"
"80","S Karlshorst Bhf/Wandlitzstr. (Berlin)","Lichtenberg","52.479568","13.524914"
"81","S Heiligensee (Berlin)","Reinickendorf","52.625027","13.229062"
"82","S Friedenau (Berlin)","Tempelhof-Schöneberg","52.470932","13.341759"
"83","S Hohenzollerndamm (Berlin)","Charlottenburg-Wilmersdorf","52.488314","13.300712"
"84","S Schöneweide (Berlin)","Treptow-Köpenick","52.455045","13.511341"
"85","S Betriebsbahnhof Rummelsburg (Berlin)","Lichtenberg","52.493957","13.497509"
"86","S Oberspree (Berlin)","Treptow-Köpenick","52.452269","13.538461"
"87","S Rummelsburg (Berlin)","Lichtenberg","52.501076","13.478856"
"88","S Sonnenallee (Berlin)","Neukölln","52.473822","13.455998"
"89","S Anhalter Bahnhof (Berlin)","Friedrichshain-Kreuzberg","52.504499","13.382355"
"90","U Kochstr./Checkpoint Charlie (Berlin)","Friedrichshain-Kreuzberg","52.506673","13.390863"
"91","U Magdalenenstr. (Berlin)","Lichtenberg","52.512214","13.489439"
"92","S Sonnenallee/Saalestr. (Berlin)","Neukölln","52.472215","13.454458"
"93","S+U Lichtenberg Bhf (Berlin)","Lichtenberg","52.510528","13.499060"
"94","S Nöldnerplatz (Berlin)","Lichtenberg","52.503444","13.484297"
"95","U Kurfürstenstr. (Berlin)","Mitte","52.499810","13.362814"
"96","S Wannsee Bhf (Berlin)","Steglitz-Zehlendorf","52.421001","13.177955"
"97","S+U Neukölln (Berlin)","Neukölln","52.469298","13.442368"
"98","U Spichernstr. (Berlin)","Charlottenburg-Wilmersdorf","52.496582","13.330613"
"99","U Rohrdamm (Berlin)","Spandau","52.536904","13.262870"
"100","U Mendelssohn-Bartholdy-Park (Berlin)","Friedrichshain-Kreuzberg","52.503806","13.374719"
"101","S Heerstr. (Berlin)","Charlottenburg-Wilmersdorf","52.508273","13.258514"
"102","U Borsigwerke (Berlin)","Reinickendorf","52.582139","13.290122"
"103","U Holzhauser Str. (Berlin)","Reinickendorf","52.576252","13.295083"
"104","U Neu-Westend (Berlin)","Charlottenburg-Wilmersdorf","52.516409","13.259910"
"105","S Biesdorf (Berlin)","Marzahn-Heissen","52.513233","13.556795"
"106","S Friedrichsfelde Ost (Berlin)","Lichtenberg","52.513747","13.520043"
"107","U Kurfürstendamm (Berlin)","Charlottenburg-Wilmersdorf","52.503763","13.331419"
"108","U Biesdorf-Süd (Berlin)","Marzahn-Heissen","52.499517","13.547326"
"109","U Elsterwerdaer Platz (Berlin)","Marzahn-Heissen","52.505969","13.561752"
"110","S Hirschgarten (Berlin)","Treptow-Köpenick","52.457903","13.601480"
"111","S Springpfuhl (Berlin)","Marzahn-Heissen","52.525806","13.536904"
"112","U Augsburger Str. (Berlin)","Tempelhof-Schöneberg","52.500557","13.336771"
"113","S Schlachtensee (Berlin)","Steglitz-Zehlendorf","52.440117","13.216113"
"114","S Friedrichshagen (Berlin)","Treptow-Köpenick","52.457000","13.625458"
"115","S+U Zoologischer Garten Bhf (Berlin)","Charlottenburg-Wilmersdorf","52.506882","13.332927"
"116","S+U Wittenau (Berlin)","Reinickendorf","52.596290","13.334962"
"117","S Wilhelmshagen (Berlin)","Treptow-Köpenick","52.438587","13.722402"
"118","S Rahnsdorf (Berlin)","Treptow-Köpenick","52.451153","13.692441"
"119","S Köpenick (Berlin)","Treptow-Köpenick","52.458459","13.580167"
"120","S Wuhlheide (Berlin)","Treptow-Köpenick","52.469058","13.553527"
"121","U Afrikanische Str. (Berlin)","Mitte","52.560862","13.333502"
"122","U Rehberge (Berlin)","Mitte","52.556670","13.341013"
"123","U Westphalweg (Berlin)","Tempelhof-Schöneberg","52.445801","13.385561"
"124","U Prinzenstr. (Berlin)","Friedrichshain-Kreuzberg","52.498274","13.406531"
"125","S Spindlersfeld (Berlin)","Treptow-Köpenick","52.445938","13.562701"
"126","U Rüdesheimer Platz (Berlin)","Charlottenburg-Wilmersdorf","52.472462","13.314387"
"127","S+U Heidelberger Platz (Berlin)","Charlottenburg-Wilmersdorf","52.479446","13.311843"
"128","S Adlershof (Berlin)","Treptow-Köpenick","52.435356","13.541077"
"129","S Westkreuz (Berlin)","Charlottenburg-Wilmersdorf","52.501152","13.283036"
"130","S Betriebsbahnhof Schöneweide (Berlin)","Treptow-Köpenick","52.446064","13.524859"
"131","S Charlottenburg Bhf (Berlin)","Charlottenburg-Wilmersdorf","52.505152","13.303477"
"132","U Kottbusser Tor (Berlin)","Friedrichshain-Kreuzberg","52.499249","13.418167"
"133","U Moritzplatz (Berlin)","Friedrichshain-Kreuzberg","52.503739","13.410947"
"134","U Adenauerplatz (Berlin)","Charlottenburg-Wilmersdorf","52.500086","13.307348"
"135","U Richard-Wagner-Platz (Berlin)","Charlottenburg-Wilmersdorf","52.517154","13.307221"
